iter	RMSE
0	0.5466614571
1	0.5223629641
2	0.4993652923
3	0.4776321834
4	0.4569875303
5	0.437504162
6	0.4191043068
7	0.4016520847
8	0.3852066974
9	0.3694602994
10	0.3546799593
11	0.3405994509
12	0.3272733922
13	0.3147606548
14	0.3029686093
15	0.2916936388
16	0.281150788
17	0.271209981
18	0.2616635674
19	0.2528827254
20	0.2443655054
21	0.2364287652
22	0.2291221964
23	0.2221081983
24	0.2154837869
25	0.2093408462
26	0.2035568883
27	0.1980947043
28	0.1929544316
29	0.1879365695
30	0.1834359808
31	0.1792043353
32	0.175096729
33	0.171389943
34	0.1679236124
35	0.1646632246
36	0.161498816
37	0.1587037476
38	0.156044035
39	0.1533562593
40	0.150852158
41	0.1486834141
42	0.146622096
43	0.1447039607
44	0.1429658481
45	0.1413501051
46	0.1395757122
47	0.1380738516
48	0.1367306252
49	0.1354442992
50	0.1342038681
51	0.1329917887
52	0.1317701633
53	0.1308117193
54	0.1298383354
55	0.1290017489
56	0.1281659813
57	0.1272798028
58	0.1263485777
59	0.1256843446
60	0.1246516147
61	0.1240606301
62	0.1231856865
63	0.1225835013
64	0.1217718422
65	0.1212357921
66	0.1207062473
67	0.120228528
68	0.1197876337
69	0.1193613317
70	0.1189731041
71	0.1183684582
72	0.1179761714
73	0.1176368679
74	0.1171972443
75	0.1167334703
76	0.1162585803
77	0.1158966831
78	0.115307365
79	0.1150291916
80	0.1147538849
81	0.1142655922
82	0.1139183577
83	0.1136950819
84	0.1133247532
85	0.1131090122
86	0.1128922854
87	0.112484487
88	0.1122571825
89	0.111913537
90	0.1116875881
91	0.1113616945
92	0.1111009305
93	0.11084445
94	0.1106764692
95	0.110540255
96	0.1102543153
97	0.1100318789
98	0.1098372573
99	0.1095741703
100	0.1094303971
101	0.1092467975
102	0.1089879873
103	0.1088169649
104	0.1086541569
105	0.1084325981
106	0.1082207457
107	0.1080893173
108	0.1079433811
109	0.1077324707
110	0.1075571046
111	0.1072033064
112	0.1069965992
113	0.1067888652
114	0.1065949964
115	0.1064309046
116	0.1061412726
117	0.1060320939
118	0.105894071
119	0.1057942129
120	0.1055789722
121	0.1054135668
122	0.1052696388
123	0.1051479875
124	0.1048340289
125	0.1045853539
126	0.1044981693
127	0.1042881755
128	0.1041411525
129	0.1039872769
130	0.1038611696
131	0.1037163612
132	0.1036284287
133	0.1034690783
134	0.1033903135
135	0.1031228486
136	0.103000438
137	0.102898249
138	0.1026304756
139	0.1025233485
140	0.1023732688
141	0.1022540707
142	0.1020910172
143	0.1020032898
144	0.1017686615
145	0.101601775
146	0.1014826814
147	0.1013905058
148	0.1012081744
149	0.1010509036
150	0.1009543219
151	0.1008671052
152	0.1007427173
153	0.100668597
154	0.1005825324
155	0.1004311881
156	0.1003410741
157	0.1002078154
158	0.100108506
159	0.09995155267
160	0.09979207061
161	0.09965649923
162	0.09948990934
163	0.09939561911
164	0.09931182523
165	0.09908068784
166	0.09896504185
167	0.09878917892
168	0.09872262957
169	0.09863876624
170	0.0985247717
171	0.09838032033
172	0.09832049137
173	0.09822502991
174	0.09813041888
175	0.0980055152
176	0.09791624893
177	0.09776422652
178	0.09767423252
179	0.09755048662
180	0.09746677402
181	0.09735441137
182	0.09726503455
183	0.09721568648
184	0.09711271767
185	0.09700800444
186	0.09692638795
187	0.09678384812
188	0.09665770793
189	0.0965639195
190	0.09646590889
191	0.09637596061
192	0.09629287421
193	0.09616652837
194	0.09605850361
195	0.09599020146
196	0.09589950338
197	0.09583575868
198	0.09568762043
199	0.09557881342
200	0.09546706922
201	0.0953644772
202	0.0952332537
203	0.09515253097
204	0.09505832268
205	0.09499078366
206	0.09489762378
207	0.09480356557
208	0.09473433111
209	0.09466540868
210	0.09460310174
211	0.09452970253
212	0.09447012604
213	0.09428746967
214	0.0942021399
215	0.09407843708
216	0.09400976417
217	0.09389724033
218	0.0937952896
219	0.09366511085
220	0.09357621816
221	0.09353075976
222	0.09345020335
223	0.09337178825
224	0.09330835668
225	0.09325125748
226	0.09316958717
227	0.09309223348
228	0.09299702688
229	0.09295726012
230	0.09289431272
231	0.09281353168
232	0.0927390535
233	0.0926892556
234	0.09260934214
235	0.09255937587
236	0.09244674606
237	0.09239737855
238	0.09232668334
239	0.09223369262
240	0.09218203301
241	0.09211685752
242	0.09202134546
243	0.09192812151
244	0.09182482694
245	0.09174884042
246	0.09169520149
247	0.09162729882
248	0.09155694407
249	0.09149659559
250	0.09140819466
251	0.09132399104
252	0.09123808549
253	0.09108435921
254	0.09102675294
255	0.0909085627
256	0.09081103805
257	0.09069198209
258	0.09060988509
259	0.09055621939
260	0.09050754446
261	0.0903733224
262	0.09032684868
263	0.09027818006
264	0.09022956705
265	0.09014631136
266	0.0901100322
267	0.0900442257
268	0.08997497082
269	0.08991319322
270	0.08982990071
271	0.08978049317
272	0.08970246487
273	0.08963283926
274	0.08953585683
275	0.08949974296
276	0.08946558667
277	0.08941685266
278	0.08935784556
279	0.08927566565
280	0.08919992896
281	0.08912581502
282	0.08904749612
283	0.08900784455
284	0.08894054827
285	0.08882733191
286	0.08873254972
287	0.08868516719
288	0.08863443512
289	0.0885826732
290	0.08853305067
291	0.08844926918
292	0.08841043563
293	0.08829668228
294	0.0882026848
295	0.08814127728
296	0.08810369405
297	0.08799209756
298	0.08790451791
299	0.0878410121
300	0.08777631666
301	0.08774030076
302	0.08770686152
303	0.08763285356
304	0.08756797953
305	0.08752450485
306	0.08744625262
307	0.08738598451
308	0.08735195194
309	0.08729876254
310	0.08723265864
311	0.08719865095
312	0.08711755199
313	0.08708167784
314	0.08702946179
315	0.08695430254
316	0.08688448039
317	0.08683770593
318	0.08678988478
319	0.08675534787
320	0.08667617562
321	0.08662983548
322	0.08655090993
323	0.08648527959
324	0.08640796722
325	0.08636314878
326	0.08632025544
327	0.08625572932
